# TRACKC++ version(Aug 25 2014 16:45:52)
# Accelerator Physics Group - LNLS
# Campinas BRAZIL
# contact: xresende@gmail.com
# [closed-orbit]
# ebeam_energy[eV] : 3000000000.000000
# harmonic_number  : 864
# cavity_state     : on
# radiation_state  : on
# chamber_state    : on

# idx fam_name        s[m]                   rx[m]                  ry[m]                  de                     px[rad]                py[rad]                dl[m]                 
# --- --------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ----------------------
00012 vcm             +3.272850000000001E+00 +1.997021463440796E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980970E-02
00013 d12             +3.272850000000001E+00 +1.997021463440796E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980970E-02
00014 hcm             +3.392850000000001E+00 +2.066624022466805E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980970E-02
00015 d12             +3.392850000000001E+00 +2.066624022466805E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980970E-02
00016 sa2             +3.512850000000001E+00 +2.136226581492815E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980970E-02
00017 d12             +3.662850000000001E+00 +2.223229767218539E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799828674983463E-09 +0.000000000000000E+00 -1.899006198980970E-02
00018 BPM             +3.782850000000001E+00 +2.292832305072027E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799828674983463E-09 +0.000000000000000E+00 -1.899006198980969E-02
00019 d12             +3.782850000000001E+00 +2.292832305072027E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799828674983463E-09 +0.000000000000000E+00 -1.899006198980969E-02
00020 qaf             +3.902850000000001E+00 +2.362434842925515E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799828674983463E-09 +0.000000000000000E+00 -1.899006198980969E-02
00021 d23             +4.242850000000002E+00 +2.212097590969356E-08 +0.000000000000000E+00 -6.599980156288032E-05 -1.442543199536194E-08 +0.000000000000000E+00 -1.899006198980968E-02
00022 qad             +4.472850000000002E+00 +1.880290755890759E-08 +0.000000000000000E+00 -6.599980156288032E-05 -1.442543199536194E-08 +0.000000000000000E+00 -1.899006198980965E-02
00023 d17             +4.612850000000002E+00 +1.727056089801291E-08 +0.000000000000000E+00 -6.599980156288034E-05 -7.561328368359198E-09 +0.000000000000000E+00 -1.899006198980965E-02
00024 sa1             +4.782850000000002E+00 +1.598505023194298E-08 +0.000000000000000E+00 -6.599980156288034E-05 -7.561328368359198E-09 +0.000000000000000E+00 -1.899006198980965E-02
00025 d17             +4.932850000000002E+00 +1.485077627351623E-08 +0.000000000000000E+00 -6.599980156288034E-05 -7.561326303202544E-09 +0.000000000000000E+00 -1.899006198980965E-02
00026 b1              +5.102850000000002E+00 +1.356526595854610E-08 +0.000000000000000E+00 -6.599980156288034E-05 -7.561326303202544E-09 +0.000000000000000E+00 -1.899006198980965E-02
00027 mb1             +5.516890000000002E+00 -3.224395813645327E-07 +0.000000000000000E+00 -6.653486299514771E-05 -1.635520038535822E-06 +0.000000000000000E+00 -1.899006436501531E-02
00028 b1              +5.516890000000002E+00 -3.224395813645327E-07 +0.000000000000000E+00 -6.653486299514771E-05 -1.635520038535822E-06 +0.000000000000000E+00 -1.899006436501531E-02
00029 d32             +5.930930000000002E+00 -1.372916942843798E-06 +0.000000000000000E+00 -6.706993364211972E-05 -3.498672993304414E-06 +0.000000000000000E+00 -1.899008328178756E-02
00030 vcm             +6.250930000000002E+00 -2.492567395582778E-06 +0.000000000000000E+00 -6.706993364211972E-05 -3.498672993304414E-06 +0.000000000000000E+00 -1.899008327982878E-02
00031 d12             +6.250930000000002E+00 -2.492567395582778E-06 +0.000000000000000E+00 -6.706993364211972E-05 -3.498672993304414E-06 +0.000000000000000E+00 -1.899008327982878E-02
00032 hcm             +6.370930000000002E+00 -2.912436315359895E-06 +0.000000000000000E+00 -6.706993364211972E-05 -3.498672993304414E-06 +0.000000000000000E+00 -1.899008327909424E-02
00033 d15             +6.370930000000002E+00 -2.912436315359895E-06 +0.000000000000000E+00 -6.706993364211972E-05 -3.498672993304414E-06 +0.000000000000000E+00 -1.899008327909424E-02
00034 sd1             +6.520930000000003E+00 -3.437272465081292E-06 +0.000000000000000E+00 -6.706993364211972E-05 -3.498672993304414E-06 +0.000000000000000E+00 -1.899008327817606E-02
00035 d17             +6.670930000000003E+00 -3.962086376399762E-06 +0.000000000000000E+00 -6.706993364211972E-05 -3.498361811693232E-06 +0.000000000000000E+00 -1.899008327725796E-02
00036 qf1             +6.840930000000003E+00 -4.556847774995148E-06 +0.000000000000000E+00 -6.706993364211972E-05 -3.498361811693232E-06 +0.000000000000000E+00 -1.899008327621755E-02
00037 d12             +7.090930000000003E+00 -5.077016021712833E-06 +0.000000000000000E+00 -6.706993365480461E-05 -6.112589066842586E-07 +0.000000000000000E+00 -1.899008327558913E-02
00038 BPM             +7.210930000000003E+00 -5.150372010496245E-06 +0.000000000000000E+00 -6.706993365480461E-05 -6.112589066842586E-07 +0.000000000000000E+00 -1.899008327556671E-02
00039 d11             +7.210930000000003E+00 -5.150372010496245E-06 +0.000000000000000E+00 -6.706993365480461E-05 -6.112589066842586E-07 +0.000000000000000E+00 -1.899008327556671E-02
00040 sf1             +7.320930000000003E+00 -5.217615000214372E-06 +0.000000000000000E+00 -6.706993365480461E-05 -6.112589066842586E-07 +0.000000000000000E+00 -1.899008327554616E-02
00041 d20             +7.470930000000004E+00 -5.309367239134124E-06 +0.000000000000000E+00 -6.706993365480461E-05 -6.120266892026326E-07 +0.000000000000000E+00 -1.899008327551809E-02
00042 qf2             +7.670930000000004E+00 -5.431780787243201E-06 +0.000000000000000E+00 -6.706993365480461E-05 -6.120266892026326E-07 +0.000000000000000E+00 -1.899008327548063E-02
00043 d17             +7.920930000000004E+00 -5.019980743000182E-06 +0.000000000000000E+00 -6.706993368506979E-05 +3.848450438518779E-06 +0.000000000000000E+00 -1.899008327493272E-02
00044 sd2             +8.090930000000004E+00 -4.365700285905120E-06 +0.000000000000000E+00 -6.706993368506979E-05 +3.848450438518779E-06 +0.000000000000000E+00 -1.899008327367365E-02
00045 d12             +8.240930000000004E+00 -3.788377885862079E-06 +0.000000000000000E+00 -6.706993368506979E-05 +3.848655614035233E-06 +0.000000000000000E+00 -1.899008327256264E-02
00046 hcm             +8.360930000000003E+00 -3.326508234610971E-06 +0.000000000000000E+00 -6.706993368506979E-05 +3.848655614035233E-06 +0.000000000000000E+00 -1.899008327167380E-02
00047 d10             +8.360930000000003E+00 -3.326508234610971E-06 +0.000000000000000E+00 -6.706993368506979E-05 +3.848655614035233E-06 +0.000000000000000E+00 -1.899008327167380E-02
00048 BPM             +8.460930000000003E+00 -2.941616858568381E-06 +0.000000000000000E+00 -6.706993368506979E-05 +3.848655614035233E-06 +0.000000000000000E+00 -1.899008327093309E-02
00049 d10             +8.460930000000003E+00 -2.941616858568381E-06 +0.000000000000000E+00 -6.706993368506979E-05 +3.848655614035233E-06 +0.000000000000000E+00 -1.899008327093309E-02
00050 b2              +8.560930000000003E+00 -2.556725482525790E-06 +0.000000000000000E+00 -6.706993368506979E-05 +3.848655614035233E-06 +0.000000000000000E+00 -1.899008327019238E-02
00051 mb2             +9.175061000000003E+00 -1.220074791082666E-06 +0.000000000000000E+00 -6.786360340646218E-05 +6.103952380088729E-07 +0.000000000000000E+00 -1.899014499542588E-02
00052 b2              +9.175061000000003E+00 -1.220074791082666E-06 +0.000000000000000E+00 -6.786360340646218E-05 +6.103952380088729E-07 +0.000000000000000E+00 -1.899014499542588E-02
00053 d18             +9.789192000000003E+00 -1.775710208650018E-06 +0.000000000000000E+00 -6.865726376063488E-05 -2.472148506632205E-06 +0.000000000000000E+00 -1.899019301888356E-02
00054 vcm             +9.969192000000003E+00 -2.220727493512920E-06 +0.000000000000000E+00 -6.865726376063488E-05 -2.472148506632205E-06 +0.000000000000000E+00 -1.899019301833345E-02
00055 d26             +9.969192000000003E+00 -2.220727493512920E-06 +0.000000000000000E+00 -6.865726376063488E-05 -2.472148506632205E-06 +0.000000000000000E+00 -1.899019301833345E-02
00056 sd3             +1.022919200000000E+01 -2.863530238314890E-06 +0.000000000000000E+00 -6.865726376063488E-05 -2.472148506632205E-06 +0.000000000000000E+00 -1.899019301753884E-02
00057 d17             +1.037919200000000E+01 -3.234363410213301E-06 +0.000000000000000E+00 -6.865726376063488E-05 -2.471946118306514E-06 +0.000000000000000E+00 -1.899019301708045E-02
00058 qf3             +1.054919200000000E+01 -3.654623104206068E-06 +0.000000000000000E+00 -6.865726376063488E-05 -2.471946118306514E-06 +0.000000000000000E+00 -1.899019301656098E-02
00059 d12             +1.079919200000000E+01 -3.906764345029042E-06 +0.000000000000000E+00 -6.865726377395507E-05 +4.874235693043555E-07 +0.000000000000000E+00 -1.899019301634202E-02
00060 BPM             +1.091919200000000E+01 -3.848269500616558E-06 +0.000000000000000E+00 -6.865726377395507E-05 +4.874235693043555E-07 +0.000000000000000E+00 -1.899019301632776E-02
00061 d11             +1.091919200000000E+01 -3.848269500616558E-06 +0.000000000000000E+00 -6.865726377395507E-05 +4.874235693043555E-07 +0.000000000000000E+00 -1.899019301632776E-02
00062 sf2             +1.102919200000000E+01 -3.794649226571780E-06 +0.000000000000000E+00 -6.865726377395507E-05 +4.874235693043555E-07 +0.000000000000000E+00 -1.899019301631469E-02
00063 d20             +1.117919200000000E+01 -3.721557356239845E-06 +0.000000000000000E+00 -6.865726377395507E-05 +4.870700828830547E-07 +0.000000000000000E+00 -1.899019301629688E-02
00064 qf4             +1.137919200000000E+01 -3.624136651024179E-06 +0.000000000000000E+00 -6.865726377395507E-05 +4.870700828830547E-07 +0.000000000000000E+00 -1.899019301627315E-02
00065 d15             +1.162919200000000E+01 -3.203394837980806E-06 +0.000000000000000E+00 -6.865726378231865E-05 +2.831031807272042E-06 +0.000000000000000E+00 -1.899019301586152E-02
00066 hcm             +1.177919200000000E+01 -2.778710909253481E-06 +0.000000000000000E+00 -6.865726378231865E-05 +2.831031807272042E-06 +0.000000000000000E+00 -1.899019301526033E-02
00067 crhv            +1.177919200000000E+01 -2.778710909253481E-06 +0.000000000000000E+00 -6.865726378231865E-05 +2.831031807272042E-06 +0.000000000000000E+00 -1.899019301526033E-02
00068 d12             +1.177919200000000E+01 -2.778710909253481E-06 +0.000000000000000E+00 -6.865726378231865E-05 +2.831031807272042E-06 +0.000000000000000E+00 -1.899019301526033E-02
00069 BPM             +1.189919200000000E+01 -2.438963766271621E-06 +0.000000000000000E+00 -6.865726378231865E-05 +2.831031807272042E-06 +0.000000000000000E+00 -1.899019301477938E-02
00070 d44             +1.189919200000000E+01 -2.438963766271621E-06 +0.000000000000000E+00 -6.865726378231865E-05 +2.831031807272042E-06 +0.000000000000000E+00 -1.899019301477938E-02
00071 b3              +1.233919200000000E+01 -1.193224242004801E-06 +0.000000000000000E+00 -6.865726378231865E-05 +2.831031807272042E-06 +0.000000000000000E+00 -1.899019301301590E-02
00072 mb3             +1.255319750000000E+01 -6.971542010592573E-07 +0.000000000000000E+00 -6.893382811688224E-05 +1.818725022251378E-06 +0.000000000000000E+00 -1.899020458217331E-02
00073 b3              +1.255319750000000E+01 -6.971542010592573E-07 +0.000000000000000E+00 -6.893382811688224E-05 +1.818725022251378E-06 +0.000000000000000E+00 -1.899020458217331E-02
00074 d13             +1.276720300000000E+01 -4.103596475820789E-07 +0.000000000000000E+00 -6.921038941666162E-05 +8.684098588756252E-07 +0.000000000000000E+00 -1.899021128082272E-02
00075 bc              +1.289720300000000E+01 -2.974585519994568E-07 +0.000000000000000E+00 -6.921038941666162E-05 +8.684098588756252E-07 +0.000000000000000E+00 -1.899021128077370E-02
00076 mc              +1.295990000000000E+01 -2.695423718082009E-07 +0.000000000000000E+00 -7.011524103487309E-05 +2.089391909577379E-08 +0.000000000000000E+00 -1.899021469032842E-02
00077 bc              +1.295990000000000E+01 -2.695423718082009E-07 +0.000000000000000E+00 -7.011524103487309E-05 +2.089391909577379E-08 +0.000000000000000E+00 -1.899021469032842E-02
00078 d13             +1.302259700000000E+01 -2.950695272629160E-07 +0.000000000000000E+00 -7.102009101568003E-05 -8.376733924308769E-07 +0.000000000000000E+00 -1.899021808458444E-02
00079 b3              +1.315259700000000E+01 -4.039748027415066E-07 +0.000000000000000E+00 -7.102009101568003E-05 -8.376733924308769E-07 +0.000000000000000E+00 -1.899021808453882E-02
00080 mb3             +1.336660250000000E+01 -6.867080914290798E-07 +0.000000000000000E+00 -7.129665109605952E-05 -1.812545557583013E-06 +0.000000000000000E+00 -1.899022467271551E-02
00081 b3              +1.336660250000000E+01 -6.867080914290798E-07 +0.000000000000000E+00 -7.129665109605952E-05 -1.812545557583013E-06 +0.000000000000000E+00 -1.899022467271551E-02
00082 d44             +1.358060800000001E+01 -1.184673805856917E-06 +0.000000000000000E+00 -7.157321389636492E-05 -2.856109660039049E-06 +0.000000000000000E+00 -1.899023611638744E-02
00083 BPM             +1.402060800000000E+01 -2.441452007929175E-06 +0.000000000000000E+00 -7.157321389636492E-05 -2.856109660039049E-06 +0.000000000000000E+00 -1.899023611459256E-02
00084 d12             +1.402060800000000E+01 -2.441452007929175E-06 +0.000000000000000E+00 -7.157321389636492E-05 -2.856109660039049E-06 +0.000000000000000E+00 -1.899023611459256E-02
00085 hcm             +1.414060800000000E+01 -2.784209699403427E-06 +0.000000000000000E+00 -7.157321389636492E-05 -2.856109660039049E-06 +0.000000000000000E+00 -1.899023611410305E-02
00086 d15             +1.414060800000000E+01 -2.784209699403427E-06 +0.000000000000000E+00 -7.157321389636492E-05 -2.856109660039049E-06 +0.000000000000000E+00 -1.899023611410305E-02
00087 qf4             +1.429060800000000E+01 -3.212656813746243E-06 +0.000000000000000E+00 -7.157321389636492E-05 -2.856109660039049E-06 +0.000000000000000E+00 -1.899023611349116E-02
00088 d20             +1.454060800000000E+01 -3.638721601928591E-06 +0.000000000000000E+00 -7.157321390478713E-05 -5.039609419794200E-07 +0.000000000000000E+00 -1.899023611307012E-02
00089 sf2             +1.474060800000000E+01 -3.739521004861703E-06 +0.000000000000000E+00 -7.157321390478713E-05 -5.039609419794200E-07 +0.000000000000000E+00 -1.899023611304472E-02
00090 d11             +1.489060800000000E+01 -3.815147163779287E-06 +0.000000000000000E+00 -7.157321390478713E-05 -5.043180560131366E-07 +0.000000000000000E+00 -1.899023611302566E-02
00091 BPM             +1.500060800000000E+01 -3.870626120747986E-06 +0.000000000000000E+00 -7.157321390478713E-05 -5.043180560131366E-07 +0.000000000000000E+00 -1.899023611301167E-02
00092 d12             +1.500060800000000E+01 -3.870626120747986E-06 +0.000000000000000E+00 -7.157321390478713E-05 -5.043180560131366E-07 +0.000000000000000E+00 -1.899023611301167E-02
00093 qf3             +1.512060800000000E+01 -3.931148619259294E-06 +0.000000000000000E+00 -7.157321390478713E-05 -5.043180560131366E-07 +0.000000000000000E+00 -1.899023611299640E-02
00094 d17             +1.537060800000000E+01 -3.680786111584541E-06 +0.000000000000000E+00 -7.157321391828584E-05 +2.474834928272622E-06 +0.000000000000000E+00 -1.899023611277796E-02
00095 sd3             +1.554060800000000E+01 -3.260034059201544E-06 +0.000000000000000E+00 -7.157321391828584E-05 +2.474834928272622E-06 +0.000000000000000E+00 -1.899023611225728E-02
00096 d26             +1.569060800000000E+01 -2.888766193280931E-06 +0.000000000000000E+00 -7.157321391828584E-05 +2.475040706280422E-06 +0.000000000000000E+00 -1.899023611179781E-02
00097 vcm             +1.595060800000000E+01 -2.245209548230596E-06 +0.000000000000000E+00 -7.157321391828584E-05 +2.475040706280422E-06 +0.000000000000000E+00 -1.899023611100134E-02
00098 crhv            +1.595060800000000E+01 -2.245209548230596E-06 +0.000000000000000E+00 -7.157321391828584E-05 +2.475040706280422E-06 +0.000000000000000E+00 -1.899023611100134E-02
00099 d18             +1.595060800000000E+01 -2.245209548230596E-06 +0.000000000000000E+00 -7.157321391828584E-05 +2.475040706280422E-06 +0.000000000000000E+00 -1.899023611100134E-02
00100 b2              +1.613060800000000E+01 -1.799670332426519E-06 +0.000000000000000E+00 -7.157321391828584E-05 +2.475040706280422E-06 +0.000000000000000E+00 -1.899023611044994E-02
00101 mb2             +1.674473900000000E+01 -1.284558063300205E-06 +0.000000000000000E+00 -7.236686915845212E-05 -7.578351938674382E-07 +0.000000000000000E+00 -1.899028544337260E-02
00102 b2              +1.674473900000000E+01 -1.284558063300205E-06 +0.000000000000000E+00 -7.236686915845212E-05 -7.578351938674382E-07 +0.000000000000000E+00 -1.899028544337260E-02
00103 d20             +1.735887000000000E+01 -2.782579012646748E-06 +0.000000000000000E+00 -7.316053327410227E-05 -4.249341110607750E-06 +0.000000000000000E+00 -1.899035190557758E-02
00104 hcm             +1.755887000000000E+01 -3.632509416129863E-06 +0.000000000000000E+00 -7.316053327410227E-05 -4.249341110607750E-06 +0.000000000000000E+00 -1.899035190377163E-02
00105 d12             +1.755887000000000E+01 -3.632509416129863E-06 +0.000000000000000E+00 -7.316053327410227E-05 -4.249341110607750E-06 +0.000000000000000E+00 -1.899035190377163E-02
00106 sd2             +1.767887000000000E+01 -4.142467658219731E-06 +0.000000000000000E+00 -7.316053327410227E-05 -4.249341110607750E-06 +0.000000000000000E+00 -1.899035190268805E-02
00107 d17             +1.782887000000000E+01 -4.779897910487918E-06 +0.000000000000000E+00 -7.316053327410227E-05 -4.249095442357867E-06 +0.000000000000000E+00 -1.899035190133366E-02
00108 qf2             +1.799887000000000E+01 -5.502296986790414E-06 +0.000000000000000E+00 -7.316053327410227E-05 -4.249095442357867E-06 +0.000000000000000E+00 -1.899035189979878E-02
00109 d20             +1.824887000000000E+01 -5.961120749221143E-06 +0.000000000000000E+00 -7.316053331051002E-05 +6.431246916652243E-07 +0.000000000000000E+00 -1.899035189912661E-02
00110 sf1             +1.844887000000000E+01 -5.832486399930502E-06 +0.000000000000000E+00 -7.316053331051002E-05 +6.431246916652243E-07 +0.000000000000000E+00 -1.899035189908525E-02
00111 d11             +1.859887000000000E+01 -5.736080571831060E-06 +0.000000000000000E+00 -7.316053331051002E-05 +6.421974595430446E-07 +0.000000000000000E+00 -1.899035189905426E-02
00112 BPM             +1.870887000000000E+01 -5.665433682717240E-06 +0.000000000000000E+00 -7.316053331051002E-05 +6.421974595430446E-07 +0.000000000000000E+00 -1.899035189903157E-02
00113 d12             +1.870887000000000E+01 -5.665433682717240E-06 +0.000000000000000E+00 -7.316053331051002E-05 +6.421974595430446E-07 +0.000000000000000E+00 -1.899035189903157E-02
00114 qf1             +1.882887000000000E+01 -5.588364349138529E-06 +0.000000000000000E+00 -7.316053331051002E-05 +6.421974595430446E-07 +0.000000000000000E+00 -1.899035189900683E-02
00115 d17             +1.907887000000000E+01 -5.023271893691847E-06 +0.000000000000000E+00 -7.316053332589984E-05 +3.822322154251320E-06 +0.000000000000000E+00 -1.899035189826228E-02
00116 sd1             +1.924887000000000E+01 -4.373429584659216E-06 +0.000000000000000E+00 -7.316053332589984E-05 +3.822322154251320E-06 +0.000000000000000E+00 -1.899035189702023E-02
00117 d15             +1.939887000000000E+01 -3.800009503991960E-06 +0.000000000000000E+00 -7.316053332589984E-05 +3.822701836063257E-06 +0.000000000000000E+00 -1.899035189592420E-02
00118 hcm             +1.954887000000000E+01 -3.226562274877356E-06 +0.000000000000000E+00 -7.316053332589984E-05 +3.822701836063257E-06 +0.000000000000000E+00 -1.899035189482805E-02
00119 d12             +1.954887000000000E+01 -3.226562274877356E-06 +0.000000000000000E+00 -7.316053332589984E-05 +3.822701836063257E-06 +0.000000000000000E+00 -1.899035189482805E-02
00120 vcm             +1.966887000000000E+01 -2.767804491585672E-06 +0.000000000000000E+00 -7.316053332589984E-05 +3.822701836063257E-06 +0.000000000000000E+00 -1.899035189395114E-02
00121 d22             +1.966887000000000E+01 -2.767804491585672E-06 +0.000000000000000E+00 -7.316053332589984E-05 +3.822701836063257E-06 +0.000000000000000E+00 -1.899035189395114E-02
00122 BPM             +1.988887000000000E+01 -1.926748555550918E-06 +0.000000000000000E+00 -7.316053332589984E-05 +3.822701836063257E-06 +0.000000000000000E+00 -1.899035189234347E-02
00123 d10             +1.988887000000000E+01 -1.926748555550918E-06 +0.000000000000000E+00 -7.316053332589984E-05 +3.822701836063257E-06 +0.000000000000000E+00 -1.899035189234347E-02
00124 b1              +1.998887000000000E+01 -1.544450402807849E-06 +0.000000000000000E+00 -7.316053332589984E-05 +3.822701836063257E-06 +0.000000000000000E+00 -1.899035189161271E-02
00125 mb1             +2.040291000000000E+01 -4.010246194635340E-07 +0.000000000000000E+00 -7.369559857094485E-05 +1.761323356890743E-06 +0.000000000000000E+00 -1.899037366280552E-02
00126 b1              +2.040291000000000E+01 -4.010246194635340E-07 +0.000000000000000E+00 -7.369559857094485E-05 +1.761323356890743E-06 +0.000000000000000E+00 -1.899037366280552E-02
00127 d17             +2.081695000000000E+01 -5.503787567121723E-08 +0.000000000000000E+00 -7.423065271654153E-05 -7.389960060107410E-08 +0.000000000000000E+00 -1.899037764253166E-02
00128 sb1             +2.098695000000000E+01 -6.760174039727908E-08 +0.000000000000000E+00 -7.423065271654153E-05 -7.389960060107410E-08 +0.000000000000000E+00 -1.899037764253119E-02
00129 d17             +2.113695000000000E+01 -7.868749724779006E-08 +0.000000000000000E+00 -7.423065271654153E-05 -7.389951435047526E-08 +0.000000000000000E+00 -1.899037764253077E-02
00130 qbd1            +2.130695000000000E+01 -9.125134731016162E-08 +0.000000000000000E+00 -7.423065271654153E-05 -7.389951435047526E-08 +0.000000000000000E+00 -1.899037764253031E-02
00131 d23             +2.144695000000000E+01 -1.043642766445568E-07 +0.000000000000000E+00 -7.423065271654593E-05 -1.143208408626645E-07 +0.000000000000000E+00 -1.899037764252968E-02
00132 qbf             +2.167695000000001E+01 -1.306600219933105E-07 +0.000000000000000E+00 -7.423065271654593E-05 -1.143208408626645E-07 +0.000000000000000E+00 -1.899037764252818E-02
00133 d12             +2.201695000000000E+01 -1.382889148222688E-07 +0.000000000000000E+00 -7.423065271658441E-05 +7.114834053677928E-08 +0.000000000000000E+00 -1.899037764252759E-02
00134 BPM             +2.213695000000001E+01 -1.297504801442759E-07 +0.000000000000000E+00 -7.423065271658441E-05 +7.114834053677928E-08 +0.000000000000000E+00 -1.899037764252728E-02
00135 d12             +2.213695000000001E+01 -1.297504801442759E-07 +0.000000000000000E+00 -7.423065271658441E-05 +7.114834053677928E-08 +0.000000000000000E+00 -1.899037764252728E-02
00136 sb2             +2.225695000000001E+01 -1.212120454662831E-07 +0.000000000000000E+00 -7.423065271658441E-05 +7.114834053677928E-08 +0.000000000000000E+00 -1.899037764252698E-02
00137 d12             +2.240695000000001E+01 -1.105390124900102E-07 +0.000000000000000E+00 -7.423065271658441E-05 +7.114820638017939E-08 +0.000000000000000E+00 -1.899037764252659E-02
00138 hcm             +2.252695000000001E+01 -1.020005939120044E-07 +0.000000000000000E+00 -7.423065271658441E-05 +7.114820638017939E-08 +0.000000000000000E+00 -1.899037764252629E-02
00139 d12             +2.252695000000001E+01 -1.020005939120044E-07 +0.000000000000000E+00 -7.423065271658441E-05 +7.114820638017939E-08 +0.000000000000000E+00 -1.899037764252629E-02
00140 vcm             +2.264695000000001E+01 -9.346217533399868E-08 +0.000000000000000E+00 -7.423065271658441E-05 +7.114820638017939E-08 +0.000000000000000E+00 -1.899037764252598E-02
00141 d12             +2.264695000000001E+01 -9.346217533399868E-08 +0.000000000000000E+00 -7.423065271658441E-05 +7.114820638017939E-08 +0.000000000000000E+00 -1.899037764252598E-02
00142 qbd2            +2.276695000000001E+01 -8.492375675599293E-08 +0.000000000000000E+00 -7.423065271658441E-05 +7.114820638017939E-08 +0.000000000000000E+00 -1.899037764252568E-02
00143 crhv            +2.290695000000001E+01 -7.815120433990615E-08 +0.000000000000000E+00 -7.423065271658991E-05 +2.622052610957513E-08 +0.000000000000000E+00 -1.899037764252550E-02
00144 d10             +2.290695000000001E+01 -7.815120433990615E-08 +0.000000000000000E+00 -7.423065271658991E-05 +2.622052610957513E-08 +0.000000000000000E+00 -1.899037764252550E-02
00145 dib             +2.300695000000001E+01 -7.552895707782278E-08 +0.000000000000000E+00 -7.423065271658991E-05 +2.622052610957513E-08 +0.000000000000000E+00 -1.899037764252547E-02
00146 id_endb         +2.491980000000001E+01 -2.536930032506121E-08 +0.000000000000000E+00 -7.423065271658991E-05 +2.622052610957513E-08 +0.000000000000000E+00 -1.899037764252481E-02
00147 dib             +2.491980000000001E+01 -2.536930032506121E-08 +0.000000000000000E+00 -7.423065271658991E-05 +2.622052610957513E-08 +0.000000000000000E+00 -1.899037764252481E-02
00148 mib             +2.591980000000001E+01 +8.531722957724103E-10 +0.000000000000000E+00 -7.423065271658991E-05 +2.622052610957513E-08 +0.000000000000000E+00 -1.899037764252446E-02
00149 dib             +2.591980000000001E+01 +8.531722957724103E-10 +0.000000000000000E+00 -7.423065271658991E-05 +2.622052610957513E-08 +0.000000000000000E+00 -1.899037764252446E-02
